Order ID,Customer Name,Product SKU,Order Date,Revenue
ORD2086,jane smith,TSHIRT001,02/06/26,3840
ORD-2087,Priya M,SHOE002,03/06/26,4251
ORD2088,Neha Sharma,BAG-001,04/06/26,2160
ORD-2089,Rahul K,shoe-001,05/06/26,3394
ORD2090,ravi mehta,TSHIRT001,06/06/26,2751
ORD-2091,Priya M,SHOE001,07/06/26,4898
ORD2092,ravi mehta,shoe-002,08/06/26,5945
ORD-2093,Meera K,SHOE-003,09/06/26,2010
ORD2094,Priya M,SHOE-003,10/06/26,4690
ORD-2095,Sneha P,TSHIRT001,11/06/26,1660
ORD2096,Sneha P,SHOE-003,12/06/26,5407
ORD-2097,John Smith,shoe-002,13/06/26,3946
ORD2098,ravi mehta,SHOE-003,14/06/26,5909
ORD-2099,Arjun R,BAG001,15/06/26,3306
ORD2100,Meera K,SHOE-002,16/06/26,3735
ORD-2101,ravi mehta,SHOE003,17/06/26,1737
ORD2102,ravi mehta,shoe-002,18/06/26,6979
ORD-2103,ravi mehta,TSHIRT001,19/06/26,2852
ORD2104,Meera K,shoe-001,20/06/26,6597
ORD-2105,Arjun R,SHOE-001,21/06/26,4727
ORD2106,Sneha P,BAG001,22/06/26,6931
ORD-2107,John Smith,SHOE001,23/06/26,6765
ORD2108,ravi mehta,shoe-001,24/06/26,5282
ORD-2109,Rahul K,SHOE-001,25/06/26,3631
ORD2110,ravi mehta,shoe-002,26/06/26,3233
ORD-2111,Meera K,shoe-002,27/06/26,4264
ORD2112,ravi mehta,SHOE002,28/06/26,4953
ORD-2113,Aman P,SHOE001,01/06/26,5352
ORD2114,John Smith,TSHIRT001,02/06/26,5918
ORD-2115,John Smith,shoe-002,03/06/26,3336
ORD2116,jane smith,TSHIRT-001,04/06/26,1829
ORD-2117,John Smith,SHOE-002,05/06/26,3133
ORD2118,John Smith,BAG001,06/06/26,2748
ORD-2119,Priya M,shoe-001,07/06/26,5379
ORD2120,jane smith,BAG001,08/06/26,3285
